Name,Publisher,Version,Source,InstallDate,InstallLocation,UninstallString,QuietUninstallString,Size,EstimatedSize,Id
28017CharlesMilette.TranslucentTB,CN=04797BBC-C7BB-462F-9B66-331C81E27C0E,2026.1.0.0,Store,,C:\Program Files\WindowsApps\28017CharlesMilette.TranslucentTB_2026.1.0.0_x64__v826wp6bftszj,"powershell -Command ""Remove-AppxPackage -Package '28017CharlesMilette.TranslucentTB_2026.1.0.0_x64__v826wp6bftszj'""",,,,28017CharlesMilette.TranslucentTB_2026.1.0.0_x64__v826wp6bftszj
3AD8A913.49937325EFC59,CN=923462DC-5E1D-4AED-B74B-BA5BA97EABB9,1.0.16.0,Store,,C:\Program Files\WindowsApps\3AD8A913.49937325EFC59_1.0.16.0_x64__j4r74wbqry4cc,"powershell -Command ""Remove-AppxPackage -Package '3AD8A913.49937325EFC59_1.0.16.0_x64__j4r74wbqry4cc'""",,,,3AD8A913.49937325EFC59_1.0.16.0_x64__j4r74wbqry4cc
ATK V HUB2.3.47,ATK,2.3.47,Registry,,,"""C:\Program Files\V HUB\ATK V HUB\Uninstall ATK V HUB.exe"" /allusers","""C:\Program Files\V HUB\ATK V HUB\Uninstall ATK V HUB.exe"" /allusers /S",651949056,651949056,66cfa2db-ac75-4359-a8cd-1dd99f055fff
Android Studio,Google LLC,2025.2,Registry,,,C:\Program Files\Android\Android Studio1\uninstall.exe,,,,f9a655d2-4fce-480c-9adf-9b228dfc7c72
Antigravity (User),Google,1.18.4,Registry,2026-02-24,C:\Users\11885\AppData\Local\Programs\Antigravity\,"""C:\Users\11885\AppData\Local\Programs\Antigravity\unins000.exe""","""C:\Users\11885\AppData\Local\Programs\Antigravity\unins000.exe"" /SILENT",830455808,830455808,9cc14798-f7e7-4c2c-8a3c-2b085136b5b7
AppleInc.iCloud,CN=5BD5593D-A41B-4F89-884E-B4F3E0FBAA75,15.7.56.0,Store,,C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa,"powershell -Command ""Remove-AppxPackage -Package 'AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa'""",,,,AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa
Ashampoo UnInstaller 16,Ashampoo GmbH & Co. KG,16.00.02,Registry,2025-12-19,C:\Program Files (x86)\Ashampoo\Ashampoo UnInstaller 16\,"""C:\Program Files (x86)\Ashampoo\Ashampoo UnInstaller 16\unins000.exe""","""C:\Program Files (x86)\Ashampoo\Ashampoo UnInstaller 16\unins000.exe"" /SILENT",0,0,c8fb8f65-2a82-4f6c-94eb-df68c014e073
Audacity 3.4.2,Audacity Team,3.4.2,Registry,2023-12-23,C:\Program Files\Audacity\,"""C:\Program Files\Audacity\unins000.exe""","""C:\Program Files\Audacity\unins000.exe"" /SILENT",80461824,80461824,ff6debb6-0e44-48de-8b71-04f919bd952b
AutoHotkey,AutoHotkey Foundation LLC,2.0.18,Registry,,C:\Program Files\AutoHotkey,"""C:\Program Files\AutoHotkey\UX\AutoHotkeyUX.exe"" ""C:\Program Files\AutoHotkey\UX\ui-uninstall.ahk""","""C:\Program Files\AutoHotkey\UX\AutoHotkeyUX.exe"" ""C:\Program Files\AutoHotkey\UX\install.ahk"" /uninstall /silent",,,30127791-c228-409a-a7b1-ad6c9768168d
Autodesk Fusion,"Autodesk, Inc.",2606.1.22,Registry,,,"""wscript.exe"" ""C:\Users\11885\AppData\Local\Autodesk\webdeploy\meta\uninstall.wsf"" -a ""73e72ada57b7480280f7a6f4a289729f"" -p uninstall -s production",,5689313280,5689313280,6b60ab67-7762-4072-8e8c-6975bd6614db
BaiduNetdisk.DesktopSyncClient,"CN=""Beijing Duyou Science and Technology Co.,Ltd."", O=""Beijing Duyou Science and Technology Co.,Ltd."", S=Beijing, C=CN",7.17.5.6,Store,,C:\Program Files\WindowsApps\BaiduNetdisk.DesktopSyncClient_7.17.5.6_neutral__r5kxaep58dem0,"powershell -Command ""Remove-AppxPackage -Package 'BaiduNetdisk.DesktopSyncClient_7.17.5.6_neutral__r5kxaep58dem0'""",,,,BaiduNetdisk.DesktopSyncClient_7.17.5.6_neutral__r5kxaep58dem0
Bambu Studio,Bambulab,02.04.00.70,Registry,,,C:\Program Files\Bambu Studio\Uninstall.exe,,,,adc6fb63-f128-44aa-8331-f071f0503fea
BeamNG.drive,BeamNG,,Registry,,D:\SteamLibrary\steamapps\common\BeamNG.drive,"""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/284160",,,,1d1912b1-10a9-40fd-a175-1828ba81bd1c
Bitwarden,Bitwarden Inc.,2025.6.1,Registry,,,"""C:\Users\11885\AppData\Local\Programs\Bitwarden\Uninstall Bitwarden.exe"" /currentuser","""C:\Users\11885\AppData\Local\Programs\Bitwarden\Uninstall Bitwarden.exe"" /currentuser /S",1013735424,1013735424,4118c297-c944-4886-8551-5085569b581c
BlueStacks,"now.gg, Inc.",5.22.130.2003,Registry,2025-11-07,,"""C:\Program Files\BlueStacks_nxt\BlueStacksUninstaller.exe"" -tmp",,2146435072,2146435072,4319340d-8cd6-4d16-8ebe-f56d3b4bcd96
BlueStacks Services,"now.gg, Inc.",3.0.9,Registry,,,"""C:\Users\11885\AppData\Local\Programs\bluestacks-services\Uninstall BlueStacksServices.exe"" /currentuser","""C:\Users\11885\AppData\Local\Programs\bluestacks-services\Uninstall BlueStacksServices.exe"" /currentuser /S",334746624,334746624,ab356816-0d84-4b09-8fcb-d1767c002fc0
Burp Suite Community Edition 2025.11.6,PortSwigger Web Security,2025.11.6,Registry,,C:\Users\11885\AppData\Local\Programs\BurpSuiteCommunity,"""C:\Users\11885\AppData\Local\Programs\BurpSuiteCommunity\uninstall.exe""",,446314496,446314496,9d0acf87-a984-403a-a64c-a2b593455f33
CC Switch,ccswitch,3.11.1,Registry,2026-03-07,C:\Users\11885\AppData\Local\Programs\CC Switch\,MsiExec.exe /X{42BD71DC-2C54-4010-91E4-8015A1B20013},,22778880,22778880,06eb444f-8f87-43db-9f13-dfc7b5d65d02
CanonicalGroupLimited.Ubuntu,CN=23596F84-C3EA-4CD8-A7DF-550DCE37BCD0,2404.1.68.0,Store,,C:\Program Files\WindowsApps\CanonicalGroupLimited.Ubuntu_2404.1.68.0_x64__79rhkp1fndgsc,"powershell -Command ""Remove-AppxPackage -Package 'CanonicalGroupLimited.Ubuntu_2404.1.68.0_x64__79rhkp1fndgsc'""",,,,CanonicalGroupLimited.Ubuntu_2404.1.68.0_x64__79rhkp1fndgsc
Chatbox 1.9.8,Benn Huang,1.9.8,Registry,,,"""C:\Program Files\Chatbox\Uninstall Chatbox.exe"" /allusers","""C:\Program Files\Chatbox\Uninstall Chatbox.exe"" /allusers /S",500675584,500675584,229e825f-6408-411a-be92-ac1509e2dd9f
Cheat Engine 7.6,Cheat Engine,,Registry,2025-11-19,C:\Program Files\Cheat Engine\,"""C:\Program Files\Cheat Engine\unins000.exe""","""C:\Program Files\Cheat Engine\unins000.exe"" /SILENT",92358656,92358656,4efd9e7d-9091-49d6-86c9-61f32dc8bb1b
